Player,Country,Runs,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date
Rahmanullah Gurbaz,AFG,106,110,7,4,96.36,2,Bangladesh,Chattogram,28-02-2022
Litton Das,BAN,136,126,16,2,107.93,1,Afghanistan,Chattogram,25-02-2022
Jatinder Singh,OMA,106,95,14,4,111.57,1,U.A.E.,Al Amerat,05-02-2022
Chirag Suri,UAE,115,125,12,5,92.0,2,Oman,Al Amerat,05-02-2022
Rahmanullah Gurbaz,AFG,103,127,6,3,81.1,1,Netherlands,Doha,23-01-2022
Q de Kock,SA,124,130,12,2,95.38,1,India,Cape Town,23-01-2022
T Bavuma,SA,110,143,8,0,76.92,1,India,Paarl,19-01-2022
HE van der Dussen,SA,129,96,9,4,134.37,1,India,Paarl,19-01-2022
MD Shanaka,SL,102,94,7,4,108.51,2,Zimbabwe,Pallekele,18-01-2022
SC Williams,ZIM,100,87,9,2,114.94,1,Sri Lanka,Pallekele,16-01-2022
Jatinder Singh,OMA,107,62,12,6,172.58,2,Nepal,Al Amerat,14-09-2021
MD Patel,USA,100,114,9,1,87.71,1,Nepal,Al Amerat,13-09-2021
JS Malhotra,USA,173,124,4,16,139.51,1,P.N.G.,Al Amerat,09-09-2021
JN Malan,SA,121,135,9,1,89.62,1,Sri Lanka,Colombo (RPS),04-09-2021
WIA Fernando,SL,118,115,10,2,102.6,1,South Africa,Colombo (RPS),02-09-2021
Tamim Iqbal,BAN,112,97,8,3,115.46,2,Zimbabwe,Harare,20-07-2021
JN Malan,SA,177,169,16,6,104.73,1,Ireland,Dublin (Malahide),16-07-2021
Q de Kock,SA,120,91,11,5,131.86,1,Ireland,Dublin (Malahide),16-07-2021
Simi Singh,IRE,100,91,14,0,109.89,2,South Africa,Dublin (Malahide),16-07-2021
Litton Das,BAN,102,114,8,0,89.47,1,Zimbabwe,Harare,16-07-2021
Babar Azam,PAK,158,139,14,4,113.66,1,England,Birmingham,13-07-2021
JM Vince,ENG,102,95,11,0,107.36,2,Pakistan,Birmingham,13-07-2021
A Balbirnie,IRE,102,117,10,2,87.17,1,South Africa,Dublin (Malahide),13-07-2021
MDKJ Perera,SL,120,122,11,1,98.36,1,Bangladesh,Mirpur,28-05-2021
Mushfiqur Rahim,BAN,125,127,10,0,98.42,1,Sri Lanka,Mirpur,25-05-2021
Fakhar Zaman,PAK,101,104,9,3,97.11,1,South Africa,Centurion,07-04-2021
Fakhar Zaman,PAK,193,155,18,10,124.51,2,South Africa,Johannesburg,04-04-2021
HE van der Dussen,SA,123,134,10,2,91.79,1,Pakistan,Centurion,02-04-2021
Babar Azam,PAK,103,104,17,0,99.03,2,South Africa,Centurion,02-04-2021
KL Rahul,IND,108,114,7,2,94.73,1,England,Pune,26-03-2021
JM Bairstow,ENG,124,112,11,7,110.71,2,India,Pune,26-03-2021
DP Conway,NZ,126,110,17,0,114.54,1,Bangladesh,Wellington,26-03-2021
DJ Mitchell,NZ,100,92,9,2,108.69,1,Bangladesh,Wellington,26-03-2021
TWM Latham,NZ,110,108,10,0,101.85,2,Bangladesh,Christchurch,23-03-2021
DM Bravo,WI,102,132,5,4,77.27,2,Sri Lanka,North Sound,14-03-2021
E Lewis,WI,103,121,8,4,85.12,2,Sri Lanka,North Sound,12-03-2021
SD Hope,WI,110,133,12,1,82.7,2,Sri Lanka,North Sound,10-03-2021
PR Stirling,IRE,118,119,9,6,99.15,2,Afghanistan,Abu Dhabi,26-01-2021
PR Stirling,IRE,128,132,12,4,96.96,1,Afghanistan,Abu Dhabi,24-01-2021
Rahmat Shah,AFG,103,109,10,2,94.49,2,Ireland,Abu Dhabi,24-01-2021
Rahmanullah Gurbaz,AFG,127,127,8,9,100.0,1,Ireland,Abu Dhabi,21-01-2021
PR Stirling,IRE,131,148,9,4,88.51,1,U.A.E.,Abu Dhabi,08-01-2021
CP Rizwan,UAE,109,136,9,1,80.14,2,Ireland,Abu Dhabi,08-01-2021
Muhammad Usman,UAE,102,107,7,3,95.32,2,Ireland,Abu Dhabi,08-01-2021
SPD Smith,AUS,104,64,14,2,162.5,1,India,Sydney,29-11-2020
AJ Finch,AUS,114,124,9,2,91.93,1,India,Sydney,27-11-2020
SPD Smith,AUS,105,66,11,4,159.09,1,India,Sydney,27-11-2020
SC Williams,ZIM,118,135,13,1,87.4,1,Pakistan,Rawalpindi,03-11-2020
Babar Azam,PAK,125,125,13,1,100.0,2,Zimbabwe,Rawalpindi,03-11-2020
BRM Taylor,ZIM,112,117,11,3,95.72,2,Pakistan,Rawalpindi,30-10-2020
JM Bairstow,ENG,112,126,12,2,88.88,1,Australia,Manchester,16-09-2020
AT Carey,AUS,106,114,7,2,92.98,2,England,Manchester,16-09-2020
GJ Maxwell,AUS,108,90,4,7,120.0,2,England,Manchester,16-09-2020
SW Billings,ENG,118,110,14,2,107.27,2,Australia,Manchester,11-09-2020
EJG Morgan,ENG,106,84,15,4,126.19,1,Ireland,Southampton,04-08-2020
A Balbirnie,IRE,113,112,12,0,100.89,2,England,Southampton,04-08-2020
PR Stirling,IRE,142,128,9,6,110.93,2,England,Southampton,04-08-2020
M Labuschagne,AUS,108,108,8,0,100.0,1,South Africa,Potchefstroom,07-03-2020
Tamim Iqbal,BAN,128,109,7,6,117.43,1,Zimbabwe,Sylhet,06-03-2020
Litton Das,BAN,176,143,16,8,123.07,1,Zimbabwe,Sylhet,06-03-2020
JN Malan,SA,129,139,7,4,92.8,2,Australia,Bloemfontein,04-03-2020
Tamim Iqbal,BAN,158,136,20,3,116.17,1,Zimbabwe,Sylhet,03-03-2020
Litton Das,BAN,126,105,13,2,120.0,1,Zimbabwe,Sylhet,01-03-2020
H Klaasen,SA,123,114,7,3,107.89,1,Australia,Paarl,29-02-2020
WIA Fernando,SL,127,123,10,0,103.25,1,West Indies,Hambantota,26-02-2020
BKG Mendis,SL,119,119,12,0,100.0,1,West Indies,Hambantota,26-02-2020
SD Hope,WI,115,140,10,0,82.14,1,Sri Lanka,Colombo (SSC),22-02-2020
Aqib Ilyas,OMA,105,123,11,1,85.36,1,U.S.A.,Kirtipur,11-02-2020
Zeeshan Maqsood,OMA,109,109,10,4,100.0,1,U.S.A.,Kirtipur,11-02-2020
KL Rahul,IND,112,113,9,2,99.11,1,New Zealand,Mount Maunganui,11-02-2020
Aqib Ilyas,OMA,109,108,12,1,100.92,2,Nepal,Kirtipur,09-02-2020
LRPL Taylor,NZ,109,84,10,4,129.76,2,India,Hamilton,05-02-2020
SS Iyer,IND,103,107,11,1,96.26,1,New Zealand,Hamilton,05-02-2020
Q de Kock,SA,107,113,11,1,94.69,2,England,Cape Town,04-02-2020
SPD Smith,AUS,131,132,14,1,99.24,1,India,Bengaluru,19-01-2020
RG Sharma,IND,119,128,8,6,92.96,2,Australia,Bengaluru,19-01-2020
DA Warner,AUS,128,112,17,3,114.28,2,India,Wankhede,14-01-2020
AJ Finch,AUS,110,114,13,2,96.49,2,India,Wankhede,14-01-2020
E Lewis,WI,102,97,6,5,105.15,2,Ireland,St George's,12-01-2020
CG Williams,NAM,129,94,13,6,137.23,1,Oman,Al Amerat,08-01-2020
RG Sharma,IND,159,138,17,5,115.21,1,West Indies,Visakhapatnam,18-12-2019
KL Rahul,IND,102,104,8,3,98.07,1,West Indies,Visakhapatnam,18-12-2019
SD Hope,WI,102,151,7,1,67.54,2,India,Chennai,15-12-2019
SO Hetmyer,WI,139,106,11,7,131.13,2,India,Chennai,15-12-2019
SD Hope,WI,109,145,8,3,75.17,2,Afghanistan,Lucknow,11-11-2019
MD Gunathilaka,SL,133,134,16,1,99.25,1,Pakistan,Karachi,02-10-2019
Babar Azam,PAK,115,105,8,4,109.52,1,Sri Lanka,Karachi,30-09-2019
A Vala,PNG,104,114,7,4,91.22,2,Namibia,Lauderhill,23-09-2019
JP Kotze,NAM,136,109,11,8,124.77,1,U.S.A.,Lauderhill,20-09-2019
V Kohli,IND,114,99,14,0,115.15,2,West Indies,Port of Spain,14-08-2019
V Kohli,IND,120,125,14,1,96.0,1,West Indies,Port of Spain,11-08-2019
MDKJ Perera,SL,111,99,17,1,112.12,1,Bangladesh,Colombo (RPS),26-07-2019
F du Plessis,SA,100,94,7,2,106.38,1,Australia,Manchester,06-07-2019
DA Warner,AUS,122,117,15,2,104.27,2,South Africa,Manchester,06-07-2019
AD Mathews,SL,113,128,10,2,88.28,1,India,Leeds,06-07-2019
KL Rahul,IND,111,118,11,1,94.06,2,Sri Lanka,Leeds,06-07-2019
RG Sharma,IND,103,94,14,2,109.57,2,Sri Lanka,Leeds,06-07-2019
Imam-ul-Haq,PAK,100,100,7,0,100.0,1,Bangladesh,Lord's,05-07-2019
JM Bairstow,ENG,106,99,15,1,107.07,1,New Zealand,Chester-le-Street,03-07-2019
RG Sharma,IND,104,92,7,5,113.04,1,Bangladesh,Birmingham,02-07-2019
CR Ervine,ZIM,105,117,13,0,89.74,1,Ireland,Bready,01-07-2019
A Balbirnie,IRE,101,112,9,2,90.17,2,Zimbabwe,Bready,01-07-2019
WIA Fernando,SL,104,103,9,2,100.97,1,West Indies,Chester-le-Street,01-07-2019
N Pooran,WI,118,103,11,4,114.56,2,Sri Lanka,Chester-le-Street,01-07-2019
RG Sharma,IND,102,109,15,0,93.57,2,England,Birmingham,30-06-2019
JM Bairstow,ENG,111,109,10,6,101.83,1,India,Birmingham,30-06-2019
Babar Azam,PAK,101,127,11,0,79.52,2,New Zealand,Birmingham,26-06-2019
AJ Finch,AUS,100,116,11,2,86.2,1,England,Lord's,25-06-2019
KS Williamson,NZ,148,154,14,1,96.1,1,West Indies,Manchester,22-06-2019
CR Brathwaite,WI,101,82,9,5,123.17,2,New Zealand,Manchester,22-06-2019
DA Warner,AUS,166,147,14,5,112.92,1,Bangladesh,Nottingham,20-06-2019
Mushfiqur Rahim,BAN,102,97,9,1,105.15,2,Australia,Nottingham,20-06-2019
KS Williamson,NZ,106,138,9,1,76.81,2,South Africa,Birmingham,19-06-2019
EJG Morgan,ENG,148,71,4,17,208.45,1,Afghanistan,Manchester,18-06-2019
Shakib Al Hasan,BAN,124,99,16,0,125.25,2,West Indies,Taunton,17-06-2019
RG Sharma,IND,140,113,14,3,123.89,1,Pakistan,Manchester,16-06-2019
AJ Finch,AUS,153,132,15,5,115.9,1,Sri Lanka,The Oval,15-06-2019
JE Root,ENG,100,94,11,0,106.38,2,West Indies,Southampton,14-06-2019
DA Warner,AUS,107,111,11,1,96.39,1,Pakistan,Taunton,12-06-2019
S Dhawan,IND,117,109,16,0,107.33,1,Australia,The Oval,09-06-2019
JJ Roy,ENG,153,121,14,5,126.44,1,Bangladesh,Cardiff,08-06-2019
Shakib Al Hasan,BAN,121,119,12,1,101.68,2,England,Cardiff,08-06-2019
RG Sharma,IND,122,144,13,2,84.72,2,South Africa,Southampton,05-06-2019
JE Root,ENG,107,104,10,1,102.88,2,Pakistan,Nottingham,03-06-2019
JC Buttler,ENG,103,76,9,2,135.52,2,Pakistan,Nottingham,03-06-2019
Mohammad Shahzad,AFG,101,88,16,0,114.77,1,Ireland,Belfast,21-05-2019
Babar Azam,PAK,115,112,13,1,102.67,1,England,Nottingham,17-05-2019
JJ Roy,ENG,114,89,11,4,128.08,2,Pakistan,Nottingham,17-05-2019
PR Stirling,IRE,130,141,8,4,92.19,1,Bangladesh,Dublin,15-05-2019
Imam-ul-Haq,PAK,151,131,16,1,115.26,1,England,Bristol,14-05-2019
JM Bairstow,ENG,128,93,15,5,137.63,2,Pakistan,Bristol,14-05-2019
JC Buttler,ENG,110,55,6,9,200.0,1,Pakistan,Southampton,11-05-2019
Fakhar Zaman,PAK,138,106,12,4,130.18,2,England,Southampton,11-05-2019
A Balbirnie,IRE,135,124,11,4,108.87,1,West Indies,Dublin (Malahide),11-05-2019
SW Ambris,WI,148,126,19,1,117.46,2,Ireland,Dublin (Malahide),11-05-2019
CS MacLeod,SCOT,100,89,10,1,112.35,1,Afghanistan,Edinburgh,10-05-2019
Rahmat Shah,AFG,113,115,11,2,98.26,2,Scotland,Edinburgh,10-05-2019
SD Hope,WI,109,132,11,1,82.57,1,Bangladesh,Dublin,07-05-2019
JD Campbell,WI,179,137,15,6,130.65,1,Ireland,Dublin,05-05-2019
SD Hope,WI,170,152,22,2,111.84,1,Ireland,Dublin,05-05-2019
SC Williams,ZIM,109,84,7,3,129.76,1,U.A.E.,Harare,14-04-2019
Haris Sohail,PAK,130,129,11,3,100.77,2,Australia,Dubai (DSC),31-03-2019
Abid Ali,PAK,112,119,9,0,94.11,2,Australia,Dubai (DSC),29-03-2019
Mohammad Rizwan,PAK,104,102,9,1,101.96,2,Australia,Dubai (DSC),29-03-2019
Mohammad Rizwan,PAK,115,126,11,0,91.26,1,Australia,Sharjah,24-03-2019
AJ Finch,AUS,153,143,11,6,106.99,2,Pakistan,Sharjah,24-03-2019
Haris Sohail,PAK,101,115,6,1,87.82,1,Australia,Sharjah,22-03-2019
AJ Finch,AUS,116,135,8,4,85.92,2,Pakistan,Sharjah,22-03-2019
UT Khawaja,AUS,100,106,10,2,94.33,1,India,Delhi,13-03-2019
Q de Kock,SA,121,108,16,2,112.03,1,Sri Lanka,Durban,10-03-2019
S Dhawan,IND,143,115,18,3,124.34,1,Australia,Mohali,10-03-2019
PSP Handscomb,AUS,117,105,8,3,111.42,2,India,Mohali,10-03-2019
V Kohli,IND,123,95,16,1,129.47,2,Australia,Ranchi,08-03-2019
UT Khawaja,AUS,104,113,11,1,92.03,1,India,Ranchi,08-03-2019
V Kohli,IND,116,120,10,0,96.66,1,Australia,Nagpur,05-03-2019
