Player,Country,Runs,BF,4s,6s,SR,Inns,Opposition,Ground,Start Date
V Aravind,UAE,115,76,14,2,151.31,1,Namibia,Sharjah,12 Mar 2022
Shoaib Khan,OMA,105,75,11,3,140.00,2,Namibia,Sharjah,11 Mar 2022
MG Erasmus,NAM,121,120,9,3,100.83,1,Oman,ICCA Dubai,6 Mar 2022
Rahmanullah Gurbaz,AFG,106,110,7,4,96.36,2,Bangladesh,Chattogram,28 Feb 2022
Litton Das,BAN,136,126,16,2,107.93,1,Afghanistan,Chattogram,25 Feb 2022
Jatinder Singh,OMA,106,95,14,4,111.57,1,U.A.E.,Al Amerat,5 Feb 2022
Chirag Suri,UAE,115,125,12,5,92.00,2,Oman,Al Amerat,5 Feb 2022
Q de Kock,SA,124,130,12,2,95.38,1,India,Cape Town,23 Jan 2022
Rahmanullah Gurbaz,AFG,103,127,6,3,81.10,1,Netherlands,Doha,23 Jan 2022
T Bavuma,SA,110,143,8,0,76.92,1,India,Paarl,19 Jan 2022
HE van der Dussen,SA,129,96,9,4,134.37,1,India,Paarl,19 Jan 2022
MD Shanaka,SL,102,94,7,4,108.51,2,Zimbabwe,Pallekele,18 Jan 2022
SC Williams,ZIM,100,87,9,2,114.94,1,Sri Lanka,Pallekele,16 Jan 2022
Jatinder Singh,OMA,107,62,12,6,172.58,2,Nepal,Al Amerat,14 Sep 2021
MD Patel,USA,100,114,9,1,87.71,1,Nepal,Al Amerat,13 Sep 2021
JS Malhotra,USA,173,124,4,16,139.51,1,P.N.G.,Al Amerat,9 Sep 2021
JN Malan,SA,121,135,9,1,89.62,1,Sri Lanka,Colombo (RPS),4 Sep 2021
WIA Fernando,SL,118,115,10,2,102.60,1,South Africa,Colombo (RPS),2 Sep 2021
Tamim Iqbal,BAN,112,97,8,3,115.46,2,Zimbabwe,Harare,20 Jul 2021
JN Malan,SA,177,169,16,6,104.73,1,Ireland,Dublin (Malahide),16 Jul 2021
Q de Kock,SA,120,91,11,5,131.86,1,Ireland,Dublin (Malahide),16 Jul 2021
Simi Singh,IRE,100,91,14,0,109.89,2,South Africa,Dublin (Malahide),16 Jul 2021
Litton Das,BAN,102,114,8,0,89.47,1,Zimbabwe,Harare,16 Jul 2021
Babar Azam,PAK,158,139,14,4,113.66,1,England,Birmingham,13 Jul 2021
JM Vince,ENG,102,95,11,0,107.36,2,Pakistan,Birmingham,13 Jul 2021
A Balbirnie,IRE,102,117,10,2,87.17,1,South Africa,Dublin (Malahide),13 Jul 2021
MDKJ Perera,SL,120,122,11,1,98.36,1,Bangladesh,Mirpur,28 May 2021
